time,mean,variance,standard_deviation,minimum,maximum,count
0.1666666666666666,0.2569683790206909,,,0.2569683790206909,0.2569683790206909,1
0.3,0.3724922239780426,,,0.3724922239780426,0.3724922239780426,1
0.3333333333333333,0.3643987774848938,,,0.3643987774848938,0.3643987774848938,1
0.3666666666666666,0.2673265635967254,,,0.2673265635967254,0.2673265635967254,1
0.4,0.4534763395786285,,,0.4534763395786285,0.4534763395786285,1
0.4333333333333333,0.401486337184906,,,0.401486337184906,0.401486337184906,1
0.4666666666666667,0.2683769166469574,,,0.2683769166469574,0.2683769166469574,1
0.5,0.3101073205471039,,,0.3101073205471039,0.3101073205471039,1
0.5333333333333333,0.3393037319183349,,,0.3393037319183349,0.3393037319183349,1
0.5666666666666667,0.3121006786823272,,,0.3121006786823272,0.3121006786823272,1
0.6,0.4269545674324035,,,0.4269545674324035,0.4269545674324035,1
0.6333333333333333,0.3492631316184997,,,0.3492631316184997,0.3492631316184997,1
0.6666666666666666,0.3335813581943512,,,0.3335813581943512,0.3335813581943512,1
0.7,0.3289333879947662,,,0.3289333879947662,0.3289333879947662,1
0.7333333333333333,0.3139836192131042,,,0.3139836192131042,0.3139836192131042,1
0.7666666666666667,0.2766636908054352,,,0.2766636908054352,0.2766636908054352,1
0.8,0.2995511293411255,,,0.2995511293411255,0.2995511293411255,1
0.8333333333333334,0.2633315026760101,,,0.2633315026760101,0.2633315026760101,1
0.8666666666666667,0.3209626078605652,,,0.3209626078605652,0.3209626078605652,1
0.9,0.3848063349723816,,,0.3848063349723816,0.3848063349723816,1
0.9333333333333332,0.338663637638092,,,0.338663637638092,0.338663637638092,1
0.9666666666666668,0.3302095830440521,,,0.3302095830440521,0.3302095830440521,1
1.0,0.39917637407779694,0.010479710932110198,0.10237045927468626,0.326789528131485,0.4715632200241089,2
1.0333333333333334,0.39274366199970245,0.031216205857127942,0.17668108517078998,0.2678112685680389,0.517676055431366,2
1.0666666666666669,0.45577476918697357,0.018500281672441776,0.13601574053190232,0.3595971167087555,0.5519524216651917,2
1.1,0.5205081105232239,0.055808579936702074,0.23623839640647343,0.3534623384475708,0.687553882598877,2
1.1333333333333333,0.44153399765491486,0.0073230559536452515,0.08557485584939803,0.3810234367847442,0.5020445585250854,2
1.1666666666666667,0.4222005605697632,0.05441894073073428,0.2332786761166444,0.2572476267814636,0.5871534943580627,2
1.2,0.33860994875431055,0.007535948807735782,0.08680984280446419,0.2772261202335357,0.3999937772750854,2
1.2333333333333334,0.38786090910434723,0.0310179964481887,0.1761192676801397,0.2633257806301117,0.5123960375785828,2
1.2666666666666666,0.4013499319553375,0.018012363951875436,0.13421014846827134,0.3064490258693695,0.4962508380413055,2
1.3,0.3032732506593068,0.00134637227205333,0.03669294580778886,0.2610120773315429,0.3270243704319,3
1.3333333333333333,0.3935128003358841,0.007887539035778431,0.08881181810873164,0.3307133615016937,0.4563122391700744,2
1.3666666666666667,0.4716312140226364,0.026563094598586655,0.16298188426505153,0.3563856184482574,0.5868768095970154,2
1.4,0.4522649645805359,0.009332518308042381,0.09660496005921425,0.3839549422264099,0.5205749869346619,2
1.4333333333333331,0.3960428833961487,0.0020338801952064483,0.045098560899505966,0.3641533851623535,0.4279323816299438,2
1.4666666666666666,0.3317697197198868,0.007401820769914469,0.08603383502968161,0.2709346115589142,0.3926048278808594,2
1.5,0.32948434352874756,0.007506170355277675,0.08663815761705505,0.268221914768219,0.3907467722892761,2
1.5333333333333334,0.3360893428325653,,,0.3360893428325653,0.3360893428325653,1
1.5666666666666669,0.3491178900003433,0.0007816147827743869,0.027957374389852616,0.3293490409851074,0.3688867390155792,2
1.6,0.310710996389389,,,0.310710996389389,0.310710996389389,1
1.6333333333333333,0.3035433888435364,,,0.3035433888435364,0.3035433888435364,1
1.6666666666666667,0.32668203115463257,7.075686802871061e-05,0.008411710172652801,0.3207340538501739,0.3326300084590912,2
1.7,0.3575448840856552,0.014396101153846264,0.1199837537079344,0.2727035582065582,0.4423862099647522,2
1.7333333333333334,0.3059963583946228,,,0.3059963583946228,0.3059963583946228,1
1.7666666666666666,0.2672826647758484,,,0.2672826647758484,0.2672826647758484,1
1.8,0.3025207221508026,0.0009238458126947791,0.030394832006358896,0.2810283303260803,0.3240131139755249,2
1.8333333333333333,0.36770935356616974,0.019419931595355173,0.1393554146610571,0.269170194864273,0.4662485122680664,2
1.8666666666666667,0.392486035823822,0.03114381527350931,0.17647610397305724,0.267698585987091,0.517273485660553,2
1.9,0.35304446518421173,0.0023821848518790194,0.04880763108243443,0.318532258272171,0.3875566720962524,2
1.9333333333333331,0.4572716355323791,,,0.4572716355323791,0.4572716355323791,1
1.9666666666666663,0.3394427746534347,0.0029690264245236797,0.0544887733806119,0.300913393497467,0.3779721558094024,2
2.0,0.5281168222427368,,,0.5281168222427368,0.5281168222427368,1
2.033333333333333,0.3888873755931854,0.03627708527581497,0.19046544378394462,0.254207968711853,0.5235667824745178,2
2.066666666666667,0.4427320212125778,0.03272823552073634,0.18090946774764535,0.3148097097873688,0.5706543326377869,2
2.1,0.42755937576293945,0.040699580162772996,0.20174136948770074,0.2849066853523254,0.5702120661735535,2
2.1333333333333333,0.3569770008325577,0.011886162034724364,0.10902367648691895,0.2798856198787689,0.4340683817863464,2
2.1666666666666665,0.4386439472436905,0.0052447697063802146,0.07242078228229942,0.387434720993042,0.489853173494339,2
2.2,0.447953462600708,0.05328289121382568,0.2308308714488287,0.284731388092041,0.611175537109375,2
2.2333333333333334,0.3390654623508453,,,0.3390654623508453,0.3390654623508453,1
