xmin,ymin,xmax,ymax,confidence,class,name,time
935.8757934570312,63.83242416381836,1416.833984375,936.0,0.28144344687461853,0,person,0.16666666666666666
934.6736450195312,61.96725845336914,1416.9765625,936.0,0.25553518533706665,0,person,0.2
316.3041076660156,0.0,1420.0,936.0,0.35992544889450073,0,person,0.5
318.8940124511719,0.0,1420.0,936.0,0.35664695501327515,0,person,0.5333333333333333
202.38429260253906,0.0,1416.51025390625,932.6577758789062,0.39633747935295105,0,person,0.5666666666666667
667.1248168945312,156.91796875,1255.4554443359375,729.9697265625,0.31960076093673706,0,person,0.7333333333333333
667.983642578125,155.73704528808594,1257.0526123046875,732.0267944335938,0.31707116961479187,0,person,0.7666666666666667
693.1133422851562,164.63063049316406,1252.76025390625,752.770263671875,0.2857104241847992,0,person,0.8
772.2391967773438,212.7174835205078,1298.76806640625,795.4312744140625,0.26880985498428345,0,person,0.9333333333333333
755.2990112304688,293.7380676269531,1286.7935791015625,853.9557495117188,0.279502809047699,0,person,0.9666666666666667
748.8607177734375,239.96636962890625,1323.1552734375,894.624755859375,0.3337212800979614,0,person,1.0333333333333334
635.2054443359375,72.61892700195312,1167.72802734375,679.3348388671875,0.34736430644989014,0,person,1.2333333333333334
604.2008056640625,53.034400939941406,1159.8509521484375,720.8984985351562,0.3108738660812378,0,person,1.2666666666666666
584.3433837890625,54.99090576171875,1184.607666015625,795.9421997070312,0.2698075473308563,0,person,1.3
624.2907104492188,98.52951049804688,1184.3631591796875,757.2610473632812,0.31762397289276123,0,person,1.3333333333333333
636.6416625976562,142.61224365234375,1168.8077392578125,767.59326171875,0.3240624964237213,0,person,1.4
619.3929443359375,106.00025177001953,1148.1693115234375,775.9672241210938,0.3426131010055542,0,person,1.4333333333333333
613.2205810546875,113.2173843383789,1140.8089599609375,785.1414794921875,0.35059353709220886,0,person,1.4666666666666666
618.467041015625,130.61485290527344,1141.2677001953125,779.7665405273438,0.38684114813804626,0,person,1.5
634.7780151367188,68.3931884765625,1145.55029296875,823.9465942382812,0.3609654903411865,0,person,1.5333333333333334
636.668212890625,63.553184509277344,1174.9827880859375,850.7686767578125,0.3943585753440857,0,person,1.5666666666666667
