time,mean_diff,variance_diff,std_diff,min_diff,max_diff,count_diff
0.0,0.08612641692161566,-0.0005953060586278997,-0.003977145212882005,0.08893868327140814,0.08331415057182318,0
0.0333333333333333,0.10893581807613373,-0.0046689880629845,-0.024314706566753108,0.1261289119720459,0.09174272418022156,0
0.0666666666666666,0.08986808359622955,-0.013440709160501501,-0.073026769670189,0.14150580763816828,0.03823035955429083,0
0.1,0.02381773293018341,-0.0024807440108012974,-0.008814646894126504,-0.022184073925018255,0.04039114713668829,1
0.1333333333333333,0.08099180459976202,-0.024806356600747002,-0.1427871585807839,0.1819575726985932,-0.019973963499069214,0
0.1666666666666666,0.15463978052139282,-0.0156564242108139,-0.07708043248654259,0.209143877029419,0.1001356840133667,0
0.2,0.08862682680288947,-0.0087993399670518,-0.03883568159000961,0.07631751894950867,0.06687289476394653,1
0.2333333333333333,0.09512302279472351,-0.0104863716373318,-0.046374892303259196,0.07559502124786383,0.001997709274291992,0
0.2666666666666666,0.05202899376551312,-0.014841293599750999,-0.051782662356960094,0.04277715086936951,0.03325021266937256,1
0.3,0.18281991779804235,-0.0212654700662918,-0.09541698791366199,0.2502899169921875,0.1153499186038971,0
0.3333333333333333,0.11988101899623871,,,0.039205312728881836,0.20055672526359558,1
0.3666666666666666,0.19123032689094543,-0.0052020542266096,-0.02129069125952071,0.20628511905670166,0.1761755347251892,0
0.4,-0.0658104618390401,,,-0.1263001263141632,0.012985855340957697,2
0.4333333333333333,-0.0687807102998097,,,-0.179895669221878,0.0418983399868012,2
0.4666666666666667,-0.11702972650527949,,,-0.21549168229103088,-0.06575706601142878,2
0.5,-0.028876356780529022,-0.0211371393265176,-0.08501191539397739,0.02605679631233221,-0.029837489128112793,2
0.5333333333333333,-0.016490715245405907,-0.0165266777149184,-0.0750894932062318,0.011954963207244873,-0.09492981433868408,1
0.5666666666666667,-0.06027572602033615,-0.0180841097925239,-0.06781281375083942,-0.009076386690139715,-0.031892299652099665,2
0.6,0.012573331594467219,0.012567961612068898,0.03825378626079132,-0.014476180076599121,0.0396228432655335,0
0.6333333333333333,0.010921796162923103,0.004976208584765801,0.01814826702859121,-0.005628526210784912,0.08692604303359991,1
0.6666666666666666,-0.0014228969812393188,0.0002889280400056003,0.001099908907684799,-0.006022989749908392,0.05625450611114502,1
0.7,0.07666152715682983,0.0354906391373522,0.1309152342922353,-0.015909522771835383,0.169232577085495,0
0.7333333333333333,0.04818384349346161,0.014806237593763,0.05930493590680029,0.00624892115592951,0.09011876583099365,0
0.7666666666666667,-0.04191069304943079,0.0013056912130396002,0.007135401363716001,-0.05519574880599981,0.0026832222938537598,1
0.8,-0.02308819194634759,-0.013474689617657798,-0.03842622241481089,-0.002437144517898504,0.016638517379760742,1
0.8333333333333334,0.002739499012629265,0.014708463881441997,0.04505534088277641,-0.04372632503509527,-0.028322041034698486,-1
0.8666666666666667,-0.010772347450256348,0.005092552753927299,0.017154536657100705,0.003807663917541504,0.013260900974273682,0
0.9,0.016850829124450684,0.0073394923611972,0.024180937571436995,0.02238360047340393,0.04744499921798706,0
0.9333333333333332,0.06271158655484521,0.038443289922383606,0.1135091541422236,-0.0264845192432403,0.09275242686271667,-1
0.9666666666666668,0.06371027727921802,0.0316975506511234,0.11751492142440939,-0.015526831150054987,0.11435964703559875,-1
1.0,-0.006164391835530525,0.0328209378110373,0.1130287808305169,-0.0667584240436554,0.16390317678451544,1
1.0333333333333334,0.13848456740379333,0.03571127771826,0.1223958389216371,0.051937639713287354,0.22503149509429937,0
1.0666666666666669,0.13453172147274012,,,-0.010573804378509521,0.27963724732398987,1
1.1,0.1726219207048416,,,0.04154026508331299,0.30370357632637024,1
1.1333333333333333,0.15582507848739624,,,0.05662649869918823,0.25502365827560425,1
1.1666666666666667,0.12106881042321521,0.029359454430236798,0.09774370907407852,0.004385799169540405,0.25771692395210266,1
1.2,0.0999933381875357,0.0184733058035924,0.0826268945423994,0.006801158189773615,0.1828911006450653,0
1.2333333333333334,0.1520517468452453,0.0127622660884441,0.0741814879522663,0.0995975136756897,0.20450598001480103,0
1.2666666666666666,0.07303939263025933,0.020534975312306702,0.081546851099991,-0.01801818609237671,0.1469970047473908,0
1.3,0.14046468834082282,-0.0011416156712708014,-0.004960949141216808,0.1534570455551148,0.08783552050590515,-1
1.3333333333333333,0.07706636190414429,0.013831313607769699,0.05238704630697641,-0.005794495344161987,0.11555656790733337,0
1.3666666666666667,0.07464099427064275,0.014535172149778699,0.06549257107229028,0.008212447166442927,0.17331728339195257,1
1.4,0.07706793149312335,,,-0.10057371854782104,0.263590008020401,2
1.4333333333333331,0.1258280525604884,0.031041493062463697,0.1398418065772337,-0.013304680585861206,0.28819119930267334,1
1.4666666666666666,0.0748346944650014,0.018305466728654,0.09095960852195689,-0.012933880090713501,0.19563311338424683,1
1.5,0.06752419471740723,0.0182711732269306,0.1027303412267125,-0.009214013814926147,0.23564636707305914,2
1.5333333333333334,0.14568834503491712,,,0.01277193427085871,0.33999788761138916,2
1.5666666666666669,0.10272019108136499,,,-0.02174830436706543,0.3056983053684235,2
1.6,0.019013094405333164,0.0169240795493946,0.0793998372889308,-0.007106304168701172,0.17457315325737,1
1.6333333333333333,0.11420126756032312,0.030085145998563698,0.1169921927915661,0.05615147948265081,0.18146145343780523,-1
1.6666666666666667,0.00677651166915888,0.0191444792903823,0.0692267492453825,-0.01765686273574829,0.09417623281478882,0
1.7,0.22218553225199383,,,0.31171992421150213,0.13790377974510193,-2
1.7333333333333334,0.15919086337089544,,,0.24963378906250006,0.07984477281570435,-2
1.7666666666666666,0.15542969107627874,,,0.25019717216491705,0.05660855770111084,-2
1.8,0.02850205947955453,0.0184677607048698,0.07309283804925801,0.0016638040542601984,0.08767053484916687,-1
1.8333333333333333,0.05857004721959441,0.012126864191862098,0.051604877374227795,0.012456119060516413,0.11691859364509583,0
1.8666666666666667,0.02300301194190979,0.022230102492244497,0.08348717492868359,-0.0360313355922699,0.08203735947608948,0
1.9,-0.0077866762876510065,0.0011721681030071006,0.004960126839598594,-0.00011768937110900879,0.09003397822380066,2
1.933333333333333,-0.013158321380615179,0.013227482164381901,0.0492560868820128,-0.04176735877990717,0.09199666976928716,1
1.9666666666666663,0.1686022728681565,,,0.25252860784530645,0.060484498739242554,-3
2.0,0.0663650631904602,0.0341540535808224,0.1357789806103924,-0.029645174741744995,0.16237530112266546,0
2.033333333333333,0.0684905052185058,0.0272932115803233,0.1451093656400372,-0.034117311239242554,0.17109832167625433,0
2.066666666666667,0.10344718396663666,0.0360751080975921,0.1503673325057409,-0.0028785765171051025,0.20977294445037847,0
2.1,0.11205312609672541,0.0368992743560952,0.12906608960667,0.04196694493293762,0.17867484688758856,-1
2.1333333333333333,0.0531599223613739,0.037621665483742496,0.11681559617879479,-0.029441177845001276,0.13576102256774902,0
2.1666666666666665,-0.007219985127449091,0.0193255260534998,0.0847860164763948,-0.0521908700466156,0.17569532990455633,2
2.2,0.1058971136808396,0.036407134689542195,0.14163817227010408,0.005743801593780518,0.20605042576789856,0
2.2333333333333334,0.15990912914276123,0.0331184074162474,0.1357189754866259,0.07111811637878412,0.23426005244255066,-1
2.2666666666666666,0.1657940844694774,0.0408857408025153,0.1655053643713455,0.06207114458084101,0.2724049687385559,-1
2.3,0.09196591873963678,0.029900659834584002,0.10861968167682191,0.025808125734329224,0.13534408807754522,-1
2.333333333333333,0.0426299124956131,0.0221420810085049,0.09278976411173531,-0.022982358932495117,0.10824218392372137,0
2.3666666666666667,0.030018538236618098,0.035507905541493405,0.12714401858117752,-0.05988585948944092,0.11992293596267706,0
2.4,0.030672922730445917,0.0327273523462818,0.11586867570510641,-0.0533771812915802,0.19926157593727112,1
2.433333333333333,0.06267398595809942,0.0609851917358739,0.1873123537531477,-0.06977584958076471,0.19512382149696356,0
2.466666666666667,0.07286679744720459,0.054173311685314494,0.18427875003787902,-0.0574379563331604,0.20317155122756958,0
2.5,0.09794640044371289,0.052063149049813906,0.1751831132178246,-0.0076037645339965265,0.20441719889640808,-1
2.533333333333333,0.047313615679740906,0.0406594050063043,0.15648528474188522,-0.06333819031715393,0.1579654216766358,0
2.566666666666667,0.11398091912269598,,,0.14099103212356567,0.08697080612182617,-1
2.6,0.0162047992149989,0.02190083701524675,0.14478855220618328,-0.06923577189445501,0.18482047319412231,1
2.6333333333333333,0.12266954779624939,,,-0.03774654865264898,0.2830856442451477,1
2.6666666666666665,0.1539974957704544,,,-0.039575606584549006,0.34757059812545776,1
2.7,0.15688477456569672,,,-0.04073131084442139,0.3545008599758149,1
2.7333333333333334,0.1793027867873509,0.0943078108104631,0.27762609614054257,-0.012875348329544123,0.36323407292366033,-1
2.7666666666666666,0.12850645184516912,0.087805852918379,0.2772955802959668,-0.06757113337516785,0.324584037065506,0
2.8,0.1502276510000229,0.041312332712150304,0.1801474105797199,0.022844195365905706,0.27761110663414007,0
2.833333333333333,0.0891915112733841,0.026926024169693002,0.14048562455072527,-0.01014682650566101,0.18852984905242925,0
2.8666666666666667,0.003975629806518499,0.009380292514578099,0.072799408495897,-0.047501325607299805,0.055452585220336914,0
2.9,0.009329527616500854,0.022564126341118,0.1312959889216825,-0.08351075649261469,0.1021698117256164,0
2.933333333333333,0.07472732663154602,0.047768756073992294,0.20131636066731678,-0.06762483716011047,0.21707949042320251,0
2.966666666666667,0.11027227342128748,0.0255144741477955,0.131389154530316,0.017366111278533936,0.20317843556404114,0
3.0,0.11357530951499933,0.0636791877833431,0.22703773937654528,-0.0469646155834198,0.2741152346134186,0
